"Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Variável x Ano x Produto das lavouras temporárias"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Área plantada (Hectares)"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"Nível","Cód.","Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)","Arroz (em casca)"
"MU","4307864","Fagundes Varela (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4307906","Farroupilha (RS)","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308003","Faxinal do Soturno (RS)","2015","2002","2002","2002","2000","2001","2000","2000","2000","2000","2000","2000","2000","1900","1900","1900","1900"
"MU","4308052","Faxinalzinho (RS)","40","10","10","10","10","3","1","-","-","-","-","-","-","-","-","-","-"
"MU","4308078","Fazenda Vilanova (RS)","-","-","2","2","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308102","Feliz (RS)","5","5","5","5","5","5","5","-","-","-","-","-","-","-","-","-","-"
"MU","4308201","Flores da Cunha (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308250","Floriano Peixoto (RS)","5","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308300","Fontoura Xavier (RS)","4","4","4","4","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308409","Formigueiro (RS)","9005","9000","9503","9603","9409","9602","8700","8465","9500","9250","8700","9510","9510","9500","8175","7500","8320"
"MU","4308433","Forquetinha (RS)","2","2","2","2","1","1","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308458","Fortaleza dos Valos (RS)","3","3","3","2","2","2","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308508","Frederico Westphalen (RS)","105","50","50","50","50","50","5","5","2","2","6","6","6","5","5","5","5"
"MU","4308607","Garibaldi (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308656","Garruchos (RS)","700","370","350","398","525","960","885","880","940","700","737","360","215","215","180","180","109"
"MU","4308706","Gaurama (RS)","20","20","20","20","20","15","10","5","5","5","3","-","-","-","-","-","1"
"MU","4308805","General Câmara (RS)","1760","1760","2000","2000","2000","2135","1800","1800","1800","1800","1859","1953","2000","2133","2112","2090","2100"
"MU","4308854","Gentil (RS)","10","10","10","10","10","10","-","-","-","-","-","-","-","-","-","-","-"
"MU","4308904","Getúlio Vargas (RS)","3","3","3","3","0","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309001","Giruá (RS)","50","50","50","50","50","30","30","-","-","-","-","-","-","-","-","-","-"
"MU","4309050","Glorinha (RS)","1198","1198","870","870","1300","1938","1938","1938","1920","2100","1950","2000","2000","2000","1900","1390","1030"
"MU","4309100","Gramado (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309126","Gramado dos Loureiros (RS)","5","1","1","2","2","2","2","2","2","-","-","-","-","-","-","-","-"
"MU","4309159","Gramado Xavier (RS)","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"MU","4309209","Gravataí (RS)","550","452","452","900","725","725","503","500","500","500","500","500","800","800","800","800","800"
"MU","4309258","Guabiju (RS)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"MU","4309308","Guaíba (RS)","3469","3741","3728","3762","3798","3959","3649","3990","3900","4041","3948","3952","3950","3929","3876","3876","3954"
"MU","4309407","Guaporé (RS)","10","10","10","3","3","3","1","1","1","1","1","1","1","1","-","-","-"
"MU","4309506","Guarani das Missões (RS)","15","15","5","5","-","-","-","-","-","40","-","-","-","-","-","-","-"
