ibge,id_mun,latitude,longitude,municipio,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
4306700,430670,-29.624852,-53.362333,Dona Francisca,2270,2270,2270,2270,2290,2300,2300,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350,2350
4306734,430673,-27.509213,-54.358268,Doutor Maurício Cardoso,50,50,50,50,10,3,5,2,2,2,2,2,2,2,2,2,2,2,2,2,0,0,0
4306759,430675,-29.099031,-51.984904,Doutor Ricardo,5,5,5,5,5,5,5,5,5,3,3,2,1,1,2,3,0,0,0,0,0,0,0
4306767,430676,-29.999293,-51.310419,Eldorado do Sul,4721,4721,6600,6600,7659,8800,8745,8644,8405,9340,9667,10901,10372,10552,11600,11781,11616,11616,11616,11583,11386,11386,11854
4306809,430680,-29.239917,-51.873023,Encantado,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0
4306908,430690,-30.543657,-52.522045,Encruzilhada do Sul,1505,1505,1515,1520,1550,1250,1050,1050,1050,1510,1510,1560,1560,1500,1500,1570,1500,1500,1500,1350,700,1034,1092
4306924,430692,-27.708587,-52.911921,Engenho Velho,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4306957,430695,-27.528858,-52.735068,Entre Rios do Sul,31,31,25,15,15,5,3,3,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0
4306932,430693,-28.362794,-54.271432,Entre-ijuís,60,40,40,40,27,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0
4306973,430697,-27.849196,-52.299711,Erebango,20,20,20,20,10,10,10,10,10,10,10,10,10,10,5,3,4,2,4,2,2,2,2
4307005,430700,-27.633406,-52.275877,Erechim,20,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307054,430705,-28.497155,-52.572176,Ernestina,30,26,26,10,5,5,3,2,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0
4307203,430720,-27.393337,-52.570112,Erval Grande,20,15,20,10,10,10,10,7,7,5,1,2,2,2,2,2,2,2,2,2,4,4,3
4307302,430730,-27.549417,-53.509573,Erval Seco,175,175,175,125,125,125,65,65,65,65,22,0,0,0,0,0,0,0,0,0,0,0,0
4307401,430740,-28.057276,-51.188794,Esmeralda,43,20,20,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307450,430745,-27.359944,-53.992768,Esperança do Sul,10,10,10,10,10,10,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4307500,430750,-28.731445,-52.841927,Espumoso,23,20,17,17,17,17,10,10,10,10,10,5,0,0,0,0,0,0,0,0,0,0,0
4307559,430755,-27.909006,-52.270486,Estação,10,10,5,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307708,430770,-29.852186,-51.143837,Esteio,260,260,340,470,470,460,350,350,350,350,300,350,400,400,200,200,200,200,450,450,450,450,450
4307807,430780,-29.503472,-51.97026,Estrela,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307815,430781,-29.179661,-53.160294,Estrela Velha,15,10,10,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4307831,430783,-28.52506,-54.148113,Eugênio de Castro,100,50,50,10,12,10,10,10,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4307906,430790,-29.223679,-51.34835,Farroupilha,10,10,10,10,10,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308003,430800,-29.57433,-53.439065,Faxinal do Soturno,1815,1815,1820,1815,1915,1965,2015,2002,2002,2002,2000,2001,2000,2000,2000,2000,2000,2000,2000,1900,1900,1900,1900
4308052,430805,-27.425416,-52.670591,Faxinalzinho,40,40,40,40,40,0,40,10,10,10,10,3,1,0,0,0,0,0,0,0,0,0,0
4308078,430807,-29.588575,-51.821183,Fazenda Vilanova,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
4308102,430810,-29.453971,-51.310102,Feliz,10,10,10,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
4308201,430820,-29.031142,-51.182221,Flores da Cunha,5,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308250,430825,-27.862509,-52.085607,Floriano Peixoto,60,60,30,30,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4308300,430830,-28.982168,-52.344953,Fontoura Xavier,20,20,15,16,8,8,4,4,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0
4308409,430840,-29.997634,-53.500294,Formigueiro,7000,9200,9200,9220,9220,8805,9005,9000,9503,9603,9409,9602,8700,8465,9500,9250,8700,9510,9510,9500,8175,7500,8320
4308433,430843,-29.380634,-52.096917,Forquetinha,0,2,2,2,2,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0
4308458,430845,-28.787883,-53.235523,Fortaleza dos Valos,30,27,15,6,3,3,3,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0
